,index,homeTeam,awayTeam,price,ticket_count,days_to_game
0,0,Los Angeles Dodgers,Texas Rangers,58.62,0,3
1,22,Los Angeles Dodgers,Houston Astros,110.02,0,56
2,21,Los Angeles Dodgers,Colorado Rockies,33.92,0,47
3,20,Los Angeles Dodgers,Colorado Rockies,38.83,0,46
4,19,Los Angeles Dodgers,Colorado Rockies,32.69,0,45
5,17,Los Angeles Dodgers,San Francisco Giants,33.92,0,43
6,16,Los Angeles Dodgers,San Francisco Giants,37.6,0,42
7,15,Los Angeles Dodgers,San Francisco Giants,37.6,0,41
8,14,Los Angeles Dodgers,Arizona Diamondbacks,29.01,0,33
9,13,Los Angeles Dodgers,Arizona Diamondbacks,44.96,0,32
10,12,Los Angeles Dodgers,Arizona Diamondbacks,32.69,0,31
11,18,Los Angeles Dodgers,San Francisco Giants,38.83,0,44
12,10,Los Angeles Dodgers,San Francisco Giants,34.05,0,20
13,11,Los Angeles Dodgers,San Francisco Giants,44.15,0,21
14,1,Los Angeles Dodgers,Texas Rangers,29.16,0,4
15,2,Los Angeles Dodgers,Texas Rangers,28.04,0,5
16,4,Los Angeles Dodgers,Philadelphia Phillies,24.99,0,7
17,3,Los Angeles Dodgers,Philadelphia Phillies,35.55,0,6
18,6,Los Angeles Dodgers,Chicago Cubs,46.19,0,16
19,7,Los Angeles Dodgers,Chicago Cubs,44.96,0,17
20,8,Los Angeles Dodgers,Chicago Cubs,48.92,0,18
21,9,Los Angeles Dodgers,Chicago Cubs,36.37,0,19
22,5,Los Angeles Dodgers,Philadelphia Phillies,39.29,0,8
23,40,Los Angeles Dodgers,San Diego Padres,48.65,0,94
24,44,Los Angeles Dodgers,Arizona Diamondbacks,21.64,0,98
25,41,Los Angeles Dodgers,San Diego Padres,65.83,0,95
26,42,Los Angeles Dodgers,San Diego Padres,42.51,0,96
27,43,Los Angeles Dodgers,Arizona Diamondbacks,36.54,0,97
28,45,Los Angeles Dodgers,Arizona Diamondbacks,27.86,0,99
29,50,Los Angeles Dodgers,Milwaukee Brewers,44.96,0,116
30,47,Los Angeles Dodgers,San Diego Padres,36.37,0,113
31,48,Los Angeles Dodgers,San Diego Padres,35.14,0,114
32,49,Los Angeles Dodgers,Milwaukee Brewers,35.14,0,115
33,51,Los Angeles Dodgers,Milwaukee Brewers,32.69,0,117
34,38,Los Angeles Dodgers,Atlanta Braves,26.55,0,84
35,46,Los Angeles Dodgers,San Diego Padres,44.96,0,112
36,37,Los Angeles Dodgers,Atlanta Braves,41.46,0,83
37,39,Los Angeles Dodgers,Atlanta Braves,32.33,0,85
38,35,Los Angeles Dodgers,Colorado Rockies,38.83,0,81
39,23,Los Angeles Dodgers,Houston Astros,92.16,0,57
40,24,Los Angeles Dodgers,Los Angeles Angels,41.28,0,59
41,25,Los Angeles Dodgers,Los Angeles Angels,53.56,0,60
42,26,Los Angeles Dodgers,Los Angeles Angels,42.51,0,61
